index,line,category,role,tag,enabled,source,kind,decision,repo_path,new_url,original_url,bytes,status,error
48,110,filter_remote,rule,Turkey,true,jimmymitlavigne/PinkRules,raw,organized,quantumult/filter_remote/turkey.list,https://raw.githubusercontent.com/jimmymitlavigne/PinkRules/master/quantumult/filter_remote/turkey.list,https://raw.githubusercontent.com/jimmymitlavigne/PinkRules/master/pinkqx/Turkey.list,197,copied,
49,111,filter_remote,rule,Netflix,true,blackmatrix7/ios_rule_script,raw,organized,quantumult/filter_remote/netflix.list,https://raw.githubusercontent.com/jimmymitlavigne/PinkRules/master/quantumult/filter_remote/netflix.list,https://raw.githubusercontent.com/blackmatrix7/ios_rule_script/master/rule/QuantumultX/Netflix/Netflix.list,37297,copied,
50,112,filter_remote,rule,Paramount+,true,jimmymitlavigne/PinkRules,raw,organized,quantumult/filter_remote/paramount-plus.list,https://raw.githubusercontent.com/jimmymitlavigne/PinkRules/master/quantumult/filter_remote/paramount-plus.list,https://raw.githubusercontent.com/jimmymitlavigne/PinkRules/master/pinkqx/Paramount.list,521,copied,
51,113,filter_remote,rule,Hulu,true,jimmymitlavigne/PinkRules,raw,organized,quantumult/filter_remote/hulu.list,https://raw.githubusercontent.com/jimmymitlavigne/PinkRules/master/quantumult/filter_remote/hulu.list,https://raw.githubusercontent.com/jimmymitlavigne/PinkRules/master/pinkqx/Hulu.list,1473,copied,
52,114,filter_remote,rule,HBO,true,jimmymitlavigne/pinkrules,raw,organized,quantumult/filter_remote/hbo.list,https://raw.githubusercontent.com/jimmymitlavigne/PinkRules/master/quantumult/filter_remote/hbo.list,https://raw.githubusercontent.com/jimmymitlavigne/pinkrules/master/pinkqx/HBOMax.list,275,copied,
53,115,filter_remote,rule,Disney+,true,jimmymitlavigne/pinkrules,raw,organized,quantumult/filter_remote/disney-plus.list,https://raw.githubusercontent.com/jimmymitlavigne/PinkRules/master/quantumult/filter_remote/disney-plus.list,https://raw.githubusercontent.com/jimmymitlavigne/pinkrules/master/pinkqx/DisneyPlus.list,376,copied,
54,116,filter_remote,rule,Pornhub,true,jimmymitlavigne/pinkrules,raw,organized,quantumult/filter_remote/pornhub.list,https://raw.githubusercontent.com/jimmymitlavigne/PinkRules/master/quantumult/filter_remote/pornhub.list,https://raw.githubusercontent.com/jimmymitlavigne/pinkrules/master/pinkqx/Pornhub.list,175,copied,
55,118,filter_remote,rule,Telegram,true,jimmymitlavigne/pinkrules,raw,organized,quantumult/filter_remote/telegram.list,https://raw.githubusercontent.com/jimmymitlavigne/PinkRules/master/quantumult/filter_remote/telegram.list,https://raw.githubusercontent.com/jimmymitlavigne/pinkrules/master/pinkqx/Telegram.list,412,copied,
56,119,filter_remote,rule,Notion,true,jimmymitlavigne/pinkrules,raw,organized,quantumult/filter_remote/notion.list,https://raw.githubusercontent.com/jimmymitlavigne/PinkRules/master/quantumult/filter_remote/notion.list,https://raw.githubusercontent.com/jimmymitlavigne/pinkrules/master/pinkqx/Notion.list,253,copied,
57,120,filter_remote,rule,Adobe,true,jimmymitlavigne/pinkrules,raw,organized,quantumult/filter_remote/adobe.list,https://raw.githubusercontent.com/jimmymitlavigne/PinkRules/master/quantumult/filter_remote/adobe.list,https://raw.githubusercontent.com/jimmymitlavigne/pinkrules/master/pinkqx/Adobe.list,595,copied,
58,121,filter_remote,rule,Apple,true,jimmymitlavigne/pinkrules,raw,organized,quantumult/filter_remote/apple.list,https://raw.githubusercontent.com/jimmymitlavigne/PinkRules/master/quantumult/filter_remote/apple.list,https://raw.githubusercontent.com/jimmymitlavigne/pinkrules/master/pinkqx/Apple.list,1337,copied,
59,122,filter_remote,rule,Microsoft,true,jimmymitlavigne/pinkrules,raw,organized,quantumult/filter_remote/microsoft.list,https://raw.githubusercontent.com/jimmymitlavigne/PinkRules/master/quantumult/filter_remote/microsoft.list,https://raw.githubusercontent.com/jimmymitlavigne/pinkrules/master/pinkqx/Microsoft.list,4592,copied,
60,123,filter_remote,rule,PayPal,true,jimmymitlavigne/pinkrules,raw,organized,quantumult/filter_remote/paypal.list,https://raw.githubusercontent.com/jimmymitlavigne/PinkRules/master/quantumult/filter_remote/paypal.list,https://raw.githubusercontent.com/jimmymitlavigne/pinkrules/master/pinkqx/PayPal.list,131,copied,
61,124,filter_remote,rule,TikTok,true,jimmymitlavigne/pinkrules,raw,organized,quantumult/filter_remote/tiktok.list,https://raw.githubusercontent.com/jimmymitlavigne/PinkRules/master/quantumult/filter_remote/tiktok.list,https://raw.githubusercontent.com/jimmymitlavigne/pinkrules/master/pinkqx/TikTok.list,642,copied,
62,125,filter_remote,rule,Spotify,true,jimmymitlavigne/pinkrules,raw,organized,quantumult/filter_remote/spotify.list,https://raw.githubusercontent.com/jimmymitlavigne/PinkRules/master/quantumult/filter_remote/spotify.list,https://raw.githubusercontent.com/jimmymitlavigne/pinkrules/master/pinkqx/Spotify.list,223,copied,
63,126,filter_remote,rule,YouTube,true,jimmymitlavigne/pinkrules,raw,organized,quantumult/filter_remote/youtube.list,https://raw.githubusercontent.com/jimmymitlavigne/PinkRules/master/quantumult/filter_remote/youtube.list,https://raw.githubusercontent.com/jimmymitlavigne/pinkrules/master/pinkqx/YouTube.list,286,copied,
64,127,filter_remote,rule,Google,true,jimmymitlavigne/pinkrules,raw,organized,quantumult/filter_remote/google.list,https://raw.githubusercontent.com/jimmymitlavigne/PinkRules/master/quantumult/filter_remote/google.list,https://raw.githubusercontent.com/jimmymitlavigne/pinkrules/master/pinkqx/Google.list,649,copied,
65,128,filter_remote,rule,Netease Music,true,jimmymitlavigne/pinkrules,raw,organized,quantumult/filter_remote/netease-music.list,https://raw.githubusercontent.com/jimmymitlavigne/PinkRules/master/quantumult/filter_remote/netease-music.list,https://raw.githubusercontent.com/jimmymitlavigne/pinkrules/master/pinkqx/NetMusic.list,2650,copied,
